geo_id,unemployment_2018,unemployment_2019,unemployment_2020,unemployment_2021,unemployment_2022,unemployment_2023,graduate_2018,graduate_2019,graduate_2020,graduate_2021,graduate_2022,graduate_2023,bachelors_2018,bachelors_2019,bachelors_2020,bachelors_2021,bachelors_2022,bachelors_2023,snap_2018,snap_2019,snap_2020,snap_2021,snap_2022,snap_2023,median_income_2018,median_income_2019,median_income_2020,median_income_2021,median_income_2022,median_income_2023,poverty_2018,poverty_2019,poverty_2020,poverty_2021,poverty_2022,poverty_2023,broadband_2018,broadband_2019,broadband_2020,broadband_2021,broadband_2022,broadband_2023,owner_occupied_2018,owner_occupied_2019,owner_occupied_2020,owner_occupied_2021,owner_occupied_2022,owner_occupied_2023,renter_occupied_2018,renter_occupied_2019,renter_occupied_2020,renter_occupied_2021,renter_occupied_2022,renter_occupied_2023,total_population_2018,total_population_2019,total_population_2020,total_population_2021,total_population_2022,total_population_2023,white_pct_2018,black_pct_2018,hispanic_pct_2018,majority_race_2018,white_pct_2019,black_pct_2019,hispanic_pct_2019,majority_race_2019,white_pct_2020,black_pct_2020,hispanic_pct_2020,majority_race_2020,white_pct_2021,black_pct_2021,hispanic_pct_2021,majority_race_2021,white_pct_2022,black_pct_2022,hispanic_pct_2022,majority_race_2022,white_pct_2023,black_pct_2023,hispanic_pct_2023,majority_race_2023,neighborhood
1400000US17031160100,105,109,96,83,54,37,240,265,335,342,294,237,475,438,448,542,636,650,135,148,101,159,72,67,69844,68750,80156,88625,107137,111602,241,278,162,248,144,134,848,813,836,878,895,908,525,540,606,635,670,677,468,448,371,376,354,322,2577,2537,2534,2847,2757,2652,52.23127667830811,0.5820721769499418,23.593325572370976,white,46.55104454079621,0.31533307055577453,26.40914465904612,white,52.012628255722184,0.0,24.822415153906867,white,60.55497014401124,0.0,18.967334035827186,white,54.4069640914037,0.0,23.721436343852012,white,57.088989441930615,0.0,24.660633484162897,white,Irving_Park
1400000US17031160200,46,57,123,104,94,62,397,356,369,372,436,301,521,560,613,660,854,934,52,44,16,29,18,97,82765,85216,101806,113482,124364,128288,204,188,177,175,44,370,999,1010,1032,1060,1200,1196,814,794,826,856,885,919,389,429,381,390,391,402,3002,3023,3138,3325,3356,3458,63.35776149233844,0.899400399733511,21.585609593604264,white,61.59444260668211,3.0433344359907375,20.972543830631825,white,61.727214786488204,2.0395156150414278,18.38750796685787,white,63.18796992481202,2.43609022556391,19.939849624060148,white,62.99165673420739,2.562574493444577,26.400476758045293,white,62.89762868710237,5.0318102949681895,19.98264893001735,white,Irving_Park
1400000US17031160300,113,60,175,206,220,262,346,341,323,264,344,500,929,883,941,934,931,910,112,127,155,158,232,217,56790,57568,66338,74125,77721,76083,442,303,367,345,605,506,1520,1570,1621,1598,1669,1633,850,858,851,864,828,751,1035,994,938,903,1055,1041,3764,3524,3672,3475,3685,3545,59.32518597236982,7.65143464399575,15.037194473963869,white,59.25085130533485,5.76049943246311,13.791146424517594,white,59.613289760348586,6.563180827886709,13.77995642701525,white,59.07913669064748,3.9136690647482015,16.46043165467626,white,56.852103120759836,5.4274084124830395,14.925373134328357,white,53.48377997179126,4.739069111424541,14.499294781382229,white,Irving_Park
1400000US17031160400,85,76,184,214,203,205,421,493,529,551,619,524,861,891,1001,1020,1010,963,178,151,166,155,296,327,56029,61815,55673,70764,72325,72593,692,609,459,465,576,809,1477,1530,1680,1731,1929,1894,881,922,1036,991,988,994,947,913,895,992,1113,1144,4693,4734,4799,4790,5171,5200,47.02748774770936,4.623907948007671,38.16322181973151,white,47.338403041825096,4.224757076468103,37.41022391212505,white,53.865388622629716,2.5421962908939366,30.047926651385705,white,55.05219206680585,2.4634655532359084,29.540709812108563,white,51.885515374202285,3.442274221620576,33.997292593308835,white,44.34615384615385,5.826923076923077,40.88461538461539,white,Irving_Park
1400000US17031160501,78,109,171,179,183,166,218,235,204,296,309,314,584,633,693,763,764,842,285,275,248,258,305,317,56190,60349,70347,75563,73946,76514,544,379,292,222,216,255,911,1034,1092,1237,1230,1341,530,552,599,586,550,519,708,749,628,737,762,891,3870,4019,3631,3718,3270,3767,24.34108527131783,6.279069767441861,53.617571059431526,hispanic,27.46951978104006,4.677780542423489,50.95794973874098,hispanic,23.189204076012118,5.09501514734233,55.356651060313965,hispanic,25.95481441635288,11.02743410435718,50.0,hispanic,28.654434250764528,14.648318042813454,48.40978593272171,hispanic,28.19219538093974,9.503583753650119,54.63233342182108,hispanic,Irving_Park
1400000US17031160502,138,115,134,119,85,128,189,209,302,383,434,435,456,545,536,562,542,616,182,199,186,170,102,180,57400,56875,72540,82742,100147,85500,444,477,358,428,294,396,968,1000,1269,1295,1263,1313,580,590,643,754,829,717,720,780,826,762,713,843,3782,3729,3838,3919,4012,3911,23.982020095187732,0.4494976203067161,69.01110523532522,hispanic,26.89729149906141,1.2067578439259854,65.32582461786002,hispanic,27.123501823866597,1.3027618551328817,62.40229286086504,hispanic,28.323551926511865,1.4289359530492474,60.24496044909415,hispanic,27.991026919242273,2.2681954137587237,54.960119641076766,hispanic,24.597289695729994,6.622347225773459,52.1094349271286,hispanic,Irving_Park
1400000US17031160601,70,65,51,73,62,138,368,314,304,354,491,473,745,812,812,785,680,746,96,93,80,72,44,98,68902,69375,68092,73796,83333,74310,353,268,213,297,126,104,1133,1117,1263,1335,1381,1404,639,639,656,761,822,738,683,665,719,695,666,784,3529,3362,3191,3196,3003,3008,47.747237177670726,1.7568716350240863,42.9016718617172,white,48.86972040452112,2.855443188578227,39.82748364069006,white,55.75054841742401,2.4757129426512066,34.34659981197117,white,55.694618272841055,2.5969962453066335,31.94618272841051,white,58.20845820845821,1.1322011322011323,27.605727605727605,white,57.91223404255319,2.0279255319148937,26.761968085106385,white,Irving_Park
1400000US17031160602,35,36,60,44,63,77,271,303,404,396,367,363,789,782,772,820,874,967,110,75,120,102,197,223,64917,66776,66250,78250,84955,96324,218,260,259,301,431,488,1223,1219,1299,1285,1409,1461,636,667,747,785,905,876,806,782,746,703,671,702,3681,3735,3703,3743,3757,3731,37.815810920945395,2.961151860907362,43.27628361858191,hispanic,37.32262382864793,3.748326639892905,45.30120481927711,hispanic,38.9413988657845,3.7267080745341614,45.12557385903322,hispanic,42.773176596313114,2.24418915308576,43.17392465936415,hispanic,45.062549906840566,1.863188714399787,38.195368645195636,white,47.35995711605468,0.40203698740284105,38.11310640578933,white,Irving_Park
1400000US17031160700,190,97,141,244,208,153,475,497,437,534,385,316,1325,1142,1204,1153,1315,1136,227,333,325,334,267,436,79671,72317,76829,76469,92614,89531,883,531,570,736,340,531,1854,1886,2133,2201,2262,2200,1044,999,1148,1239,1118,1273,1234,1342,1346,1312,1342,1259,6191,5811,5860,6275,6265,6368,43.547084477467294,3.3112582781456954,41.36649975771281,white,42.97022887626915,4.164515573911547,41.55911202891069,white,40.68259385665529,2.5938566552901023,45.2901023890785,hispanic,41.00398406374502,4.047808764940239,44.462151394422314,hispanic,38.45171588188348,3.7350359138068634,39.16999201915403,hispanic,32.75753768844221,4.114321608040201,52.57537688442211,hispanic,Irving_Park
1400000US17031160800,157,130,276,314,271,289,263,283,464,469,447,371,847,796,771,832,885,912,172,149,84,151,210,209,60409,63007,70035,75088,82691,83148,367,464,433,340,312,406,1450,1528,1705,1722,1745,1735,766,731,771,782,818,640,1071,1095,1092,1092,1045,1238,4909,5459,5640,5604,5236,5302,33.20431859849256,1.6296598085149727,51.986147891627624,hispanic,28.54002564572266,2.7660743725957135,57.904378091225496,hispanic,28.26241134751773,0.7801418439716312,62.6241134751773,hispanic,28.997144896502498,0.4282655246252677,61.61670235546038,hispanic,30.9205500381971,0.6493506493506493,60.82887700534759,hispanic,30.72425499811392,0.3583553376084497,60.712938513768385,hispanic,Irving_Park
